,Name,Global_Sales,Critic_Score
162,Forza Horizon 2,1.4,86
163,Yoshi's New Island,1.38,64
164,Bravely Default: Flying Fairy,1.38,85
165,Ryse: Son of Rome,1.38,60
166,Mortal Kombat X,1.38,86
167,Rise of the Tomb Raider,1.38,86
168,Middle-Earth: Shadow of Mordor,1.35,87
169,Battlefield 4,1.35,81
170,Gears of War 4,1.35,84
171,Tom Clancy's Rainbow Six: Siege,1.34,74
172,Yokai Watch 3,1.33,80
173,The Elder Scrolls V: Skyrim,1.33,81
174,The Witcher 3: Wild Hunt,1.31,91
175,Yoshi's Woolly World,1.3,78
176,Assassin's Creed Syndicate,1.3,78
177,Dying Light,1.29,74
178,Fallout 4,1.29,84
179,The Elder Scrolls Online,1.28,77
180,Kid Icarus: Uprising,1.27,83
181,Pokemon Mystery Dungeon: Gates to Infinity,1.27,59
182,Metal Gear Solid V: Ground Zeroes,1.27,75
183,Football Manager 2011,1.26,85
184,Pokemon Super Mystery Dungeon,1.25,69
185,Madden NFL 17,1.23,83
186,Hyrule Warriors,1.23,76
187,Super Street Fighter IV: 3D Edition,1.21,85
188,WWE 2K16,1.21,73
189,Battlefield: Hardline,1.21,71
190,Farming Simulator 2015,1.2,54
191,Captain Toad: Treasure Tracker,1.19,81
192,Destiny: The Taken King,1.19,89
193,Mario & Sonic at the London 2012 Olympic Games,1.18,66
194,Mad Max (2015),1.17,69
195,Grand Theft Auto V,1.17,96
196,Fallout: New Vegas,1.17,84
197,FIFA 14,1.16,88
198,Football Manager 2013,1.15,86
199,WWE 2K15,1.15,62
200,Pokemon Rumble Blast,1.14,56
201,Sunset Overdrive,1.14,81
202,Naruto Shippuden: Ultimate Ninja Storm 4,1.14,79
203,Watch Dogs 2,1.13,83
204,LEGO Star Wars III: The Clone Wars,1.13,67
205,Alien: Isolation,1.13,79
206,Fantasy Life,1.13,73
207,The Legend of Zelda: Tri Force Heroes,1.12,73
208,Pikmin 3,1.11,87
209,Dragon Ball: XenoVerse,1.11,69
210,LEGO City Undercover,1.1,80
211,Project CARS,1.09,83
212,Forza Horizon 3,1.08,91
213,Overwatch,1.06,91
214,LEGO Marvel Super Heroes,1.06,83
215,EA Sports UFC,1.05,70
216,The Legend of Zelda: Twilight Princess HD,1.03,86
217,NBA 2K17,1.02,90
218,Sonic Generations,1.02,66
219,Rayman Legends,1.01,90
220,ZombiU,1.01,77
221,Pokken Tournament,1.01,76
222,Final Fantasy Type-0,0.98,72
223,Mass Effect 3,0.97,89
224,Far Cry 3,0.96,88
225,Evolve,0.96,76
226,Farming Simulator 2013,0.96,65
227,Dragon Quest Monsters: Terry's Wonderland 3D,0.96,75
228,The Witcher 2: Assassins of Kings,0.96,88
229,Mario Tennis Open,0.95,69
230,PilotWings Resort,0.95,71
231,Star Fox 64 3D,0.94,81
232,Rise of the Tomb Raider,0.94,88
233,EA Sports UFC 2,0.93,79
234,Dragon Age: Inquisition,0.93,85
235,Kirby: Planet Robobot,0.93,81
236,Lego Batman 3: Beyond Gotham,0.93,73
237,Assassin's Creed III,0.93,80
238,Borderlands 2,0.93,89
239,Disney Magical World,0.92,71
240,MLB 15: The Show,0.92,80
241,Harvest Moon 3D: A New Beginning,0.91,74
242,Injustice: Gods Among Us,0.91,80
243,NBA 2K14,0.91,86
244,Street Fighter V,0.9,77
245,Just Cause 3,0.9,71
246,LEGO Jurassic World,0.9,70
247,The Elder Scrolls Online,0.9,71
248,Madden NFL 25,0.9,74
